Catagory,libnum,Title,Composer,Arranger,Copyright,Ensemble,Notes
LC,190,"SOUVENIRS OF PARIS (FROM ""CINERAMA HOLIDAY"")","GOULD, MORTON","CACAVAS, JOHN",1954,Concert Band,
LC,286,"STING"", MUSIC FROM ""THE",VARIOUS,"CACAVAS, JOHN",1974,Concert Band,
LC,79,FINLANDIA,"SIBELIUS, JEAN","CAILLIET, LUCIEN",1939,Concert Band,
SB,334,Sandunga,"Sandoval, Arturo","Calle, Ed & Sanduval, Arturo",1999,Jazz Ensemble,
MC,39,"LITTLE RHAPSODY IN BLUE, THE","GERSHWIN, GEORGE","CAMPBELL-WATSON, F.",1945,Concert Band,
MB,18,MASTER SOLOS FOR BARITONE/EUPHONIUM,VARIOUS,"CAMPBELL, LARRY",1977,EUPHONIUM SOLOS,
EN,217,ALL YOU NEED IS LOVE,LENNON & MCCARTNEY,CANADIAN BRASS,1998,BRASS QUINTET,
LC,542,American Legacy No. 1,"CARTER,CHARLES","Carter, Charles",1998,Concert Band,
M,192,"BATTLE CRY OF FREEDOM, THE",,"CARTER, CHARLES",1973,,
M,195,NATIONAL SALUTE,,"CARTER, CHARLES",1974,,
SP,122,HOT DIGGITY (DOG ZIGGITY BOOM),"HOFFMAN,AL & MANNING,DICK","CASE, ARTHUR D.",1956,,
CS,22,I BELIEVE IN MUSIC,"DAVIS, MAC","CASSEY, CHUCK",1973,,
CS,17,YOU'VE GOT A FRIEND,"KING, CAROLE","CASSEY, CHUCK",1971,,
MB,29,24 SHORT CONCERT PIECES,VARIOUS,"CAVALLY, ROBERT",1958,FLUTE AND PIANO,
SP,88,"COON BAND'S BANQUET, THE","DUZER, VAN","CHAMBERS, PARIS",,,
LC,274,HALLELUJAH CHORUS,"HANDEL, G.F.","CHIAFFARELLI, A.",1941,Concert Band,
LC,151,OVERTURE BELGIQUE,"BAUWENS, JOSEPH","CHIDESTER, L.W.",1953,Concert Band,MISSING C PICCOLO
EN,148,WOODWINDS IN THE SANCTUARY,VARIOUS,"CHILDS, EDWIN T.",1994,WOODWIND QUINTET,MISSING ALL PARTS (SCORE ONLY)
EN,41,GO DADDY-O,"MORRIS, SCOTTY","CHRISTENSEN, JAMES",1999,LOW BRASS ENSEMBLE,MISSING DRUMS
LC,539,"Good Old USA, The",,"Christensen, James",1997,Concert Band,
LC,552,"Homefront: Musical Memories from WWII, The",,"Christensen, James",,Concert Band,
EN,40,LASSUS TROMBONE,"FILLMORE, HENRY","CHRISTENSEN, JAMES",1997,LOW BRASS ENSEMBLE,
EN,238,MOON RIVER,"MANCINI, HENRY","CHRISTENSEN, JAMES",1961,TROMBONE QUARTET,
EN,28,SEVENTY SIX TROMBONES,"WILLSON, MEREDITH","CHRISTENSEN, JAMES",2010,LOW BRASS ENSEMBLE,
EN,21,TROMBONES A-PLENTY,"POLLACK, LEW","CHRISTENSEN, JAMES",1999,LOW BRASS ENSEMBLE,
LC,564,"Christmas ""A La"" Big Band",,"Clark, Larry",1998,Concert Band,
SP,53,PACK UP YOUR TROUBLES IN YOUR OLD KIT-BAG,"POWELL, FELIX","CLARK, TOM",1916,,
M,157,HYMN,,"CLAUS, E.",,,
M,157,WEBSTER'S FUNERAL MARCH,"BEETHOVEN, L.","CLAUS, E.",,,
MC,31,"GRAND SELECTION. ""RIGOLETTO""",VERDI,"CLAUS, J.B.",,Concert Band,
SB,71,SISTER SADIE,"SILVER, HORACE","CLAUSEN, ALF",1978,JAZZ ENSEMBLE,
SB,127,Sack O' Woe,,Cobine,,Jazz Ensemble,
M,240,TRIUMPHAL MARCH,HANDEL,COHEN,,,
SB,125,I'm Getting Sentimental Over You,"Washington, N; Bassmon, G","Comstock, Frank",1960,Jazz Ensemble,
SB,190,Laura,"Mercer, J; Raksin, D","Comstock, Frank",1973,Jazz Ensemble,
SB,211,Mancini!,"Mancini, Henry","Comstock, Frank",,Jazz Ensemble,
LC,316,O EMMANUEL,,"CONLEY, LLOYD",1975,Concert Band,
LC,235,TWO LYRIC PIECES,"GRIEG, EDVARD","CONSTANTINE, JOHN",1970,Concert Band,
M,63,NC-4 MARCH,"BIGELOW, F.E.","COOKE, CHARLES L.",1946,,
LC,338,TRUMPET CONCERTO,"HUMMEL, JOHANN NEPOMUK","CORLEY, JOHN",1960,Concert Band,MISSING SAXOPHONES; TROMBONE; BARITONE; TUBAS; DRUMS
SB,20,EASY STREET,"COSTA, DON","COSTA, DON",1941,JAZZ ENSEMBLE,MISSING SCORE
LC,61,CARNIVAL OF THE ANIMALS,"SAINT-SAENS, C.","CRAY, ROBERT",1953,Concert Band,
MC,42,"MARCH OF THE TOYS - FROM ""BABES IN TOYLAND""","HERBERT, VICTOR","CRAY, ROBERT",1915,Concert Band,
EN,220,ALL ABOUT THAT BASS,"TRAINOR, MEGHAN","CRENSHAW,CHRISTOPHER",2015,BRASS QUINTET,BRACKTRACK AVAILABLE
CS,15,"RISE UP, O MEN OF GOD","REED, ROBERT B.","CULVER, RAY A.",1948,,
SB,266,America The Beautiful,,"Curnow, Bob",1982,Jazz Ensemble,
SB,267,"Star Spangled Banner, The",,"Curnow, Bob",1982,Jazz Ensemble,
LC,242,JOPLIN'S RAGTIME FOLLIES,"JOPLIN, SCOTT","CURNOW, JIM",1974,Concert Band,
LC,508,ADAGIO (ADAGIO FOR STRINGS),"BARBER, SAMUEL","Custer, Calvin",1992,Concert Band,
LC,488,BEAUTY AND THE BEAST,"MENKEN, ALAN","Custer, Calvin",1991,Concert Band,
LC,525,"LION KING, THE   SOUND TRACK HIGHLIGHTS","JOHN, ELTON","CUSTER, CALVIN",1994,Concert Band,
LC,327,"PINES OF THE APPIAN WAY (FROM ""PINES OF ROME"")","RESPIGHI, OTTORINO","D'ELIA, A. AND LEIDZEN, E.",1948,Concert Band,
EN,157,PAVANE,Gabriel Faure',David Baldwin,1993,BRASS QUINTET,
LC,30,ALLERSEELEN (ALL SOULS' DAY),"STRAUSS, RICHARD","DAVIS, ALBERT",1955,Concert Band,
LC,606,Flight of the Bumble Bee,"Rimsky-Korsakoff, Serge","Davis, Albert O.",1989,Concert Band,
LC,252,"ZUEIGNUNG (DEDICATION) (OP.10,NO1)","STRAUSS, RICHARD","DAVIS, ALBERT OLIVER",1961,Concert Band,MISSING SCORE
EN,87,SARABANDE,"DEBUSSY, CLAUDE","DAVIS, SHARON",1972,CLARINET CHOIR,
SB,4,BILL BAILEY,,"DAVIS, TOM",1986,JAZZ ENSEMBLE,
SP,126,SCARBOROUGH FAIR,,"DAVIS, TOM",1970,,
SB,307,Sittin' on the Dock of the Bay,"Redding, Otis/Cropper, Stephen","Davis, Tom",1999,Jazz Ensemble,
SP,133,SO WHAT'S NEW?,"PISANO, JOHN","DAVIS, TOM",1970,,
M,165,"I.B.A. MARCH, THE","WATERS, FRED E.","DE MEYER, ART",,,
MC,77,COME WHERE MY LOVE LIES DREAMING,"FOSTER, STEPHEN C.","DE VILLE, PAUL",1908,Concert Band,
MC,77,DEAREST MAE,"CROSBY, L.V.H.","DE VILLE, PAUL",1908,Concert Band,
M,155,FUNERAL MARCH,"CHOPIN, F.","DE VILLE, PAUL",1891,,
MC,77,"JUST BEFORE THE BATTLE, MOTHER","ROOT, GEO. F.","DE VILLE, PAUL",1908,Concert Band,
MC,77,OLD BLACK JOE,"FOSTER, STEPHEN C.","DE VILLE, PAUL",1908,Concert Band,
MC,77,"VACANT CHAIR, THE","ROOT, GEO. F.","DE VILLE, PAUL",1908,Concert Band,
MC,76,MY ROSARY -AND- SWEETHEARTS ALWAYS,"LUST, FERDINAND","DE WITT, L.O.",,Concert Band,
LC,243,VIENNESE REFRAIN,,"DEDRICK, ART",1956,Concert Band,
SB,109,FLY ME TO THE MOON,"HOWARD, BART","DEDRICK, RUSTY",1982,JAZZ ENSEMBLE,
SB,237,Frankie & Johnny,,"Dedrick, Rusty",1978,Jazz Ensemble,
SB,41,LET'S FALL IN LOVE,"ARLEN, HAROLD & KEOHLER TED","DEDRICK, RUSTY",1988,JAZZ ENSEMBLE,
SB,60,PRELUDE TO A KISS,"ELLINGTON, MILLS & GORDON","DEDRICK, RUSTY",1938,JAZZ ENSEMBLE,
SB,88,TROMBONE NOCTURNE,"DEDRICK, RUSTY","DEDRICK, RUSTY",1973,JAZZ ENSEMBLE,
CS,19,"LORD'S PRAYER, THE","MALOTTE, ALBERT HAY","DEIS, CARL",1936,,
LC,537,FANTASIA FOR CHRISTMAS,,"DEL BORGO, ELLIOT",1998,CONCERT BAND,
MC,100,"HOLY CITY, THE","ADAMS, STEPHEN","DELAMATER, E.",1944,Concert Band,
EN,194,THREE PIECES,"HAYDN, F.J","DENTON, WILLIAM",,BRASS QUINTET,
EN,173,JUPITER CHORALE,"HOLST, GUSTAV","DEPAOLO, CHARLES",2007,BRASS QUINTET,
SB,19,DEARLY BELOVED,"KERN, JEROME - MERCER, JOHNNY",DEROSA RICHARD,1942,JAZZ ENSEMBLE,
MC,37,LA VALSE QUE NOUS AIMONS,"VECSEY, ARMAND","DESHON, S.",1915,Concert Band,
MC,77,MY OLD KENTUCKY HOME,"FOSTER, STEPHEN C.","DEVILLE, PAUL",1908,Concert Band,
MC,77,NELLIE WAS A LADY,"FOSTER, STEPHEN C.","DEVILLE, PAUL",1908,Concert Band,
MC,77,TWELVE AMERICAN SONGS,,"DEVILLE, PAUL",1908,Concert Band,
LC,283,GREENSLEEVES,TRADITIONAL,"DILLON, ROBERT M.",1954,Concert Band,
SB,205,Ambiance,"McPartland, Marian","Dodgion, Jerry",1975,Jazz Ensemble,
LC,24,"AMERICA, THE BEAUTIFUL","WARD, SAMUAL","DRAGON, CARMEN",1963,Concert Band,MISSING TENOR SAX
LC,528,CONCERTO FOR TRUMPET,HAYDN,"DUTHOIT, W.J.",1948,Concert Band,
LC,495,CROWN IMPERIAL,"WALTON, WILLIAM","DUTHOIT, W.J.",1937,Concert Band,
LC,249,WEST SIDE STORY SELECTION,"BERNSTEIN, LEONARD","DUTHOIT, W.J.",1963,Concert Band,MISSING SCORE
EN,67,AMERICAN THE BEAUTIFUL,"WARD, SAMUEL ","EDELBROCK, DENNIS",1994,BRASS QUINTET,MISSING SCORE
SP,57,"GODFATHER, LOVE THEME FROM THE","ROTA, NINO","EDMONDSON, JOHN",1972,,
EN,84,QUEEN MARY SUITE,"PURCELL, HENRY","EDMUNDS, JOHN",1973,WOODWIND QUINTET,
EN,209,QUEEN MARY SUITE,"PURCELL, HENRY","EDMUNDS, JOHN",1973,WOODWIND QUINTET,MISSING CLARINET; HORN; SCORE
LC,360,BUGULAR'S HOLIDAY,"ANDERSON, LEROY","EDWARDS, MICHAEL",1954,Concert Band,
